Name,Number,Name,Red,Green,Blue,LValue,AValue,BValue,Reflectance400,Reflectance410,Reflectance420,Reflectance430,Reflectance440,Reflectance450,Reflectance460,Reflectance470,Reflectance480,Reflectance490,Reflectance500,Reflectance510,Reflectance520,Reflectance530,Reflectance540,Reflectance550,Reflectance560,Reflectance570,Reflectance580,Reflectance590,Reflectance600,Reflectance610,Reflectance620,Reflectance630,Reflectance640,Reflectance650,Reflectance660,Reflectance670,Reflectance680,Reflectance690,Reflectance700
VOC 2014,PPG1000-1,WHITE,233,235,232,92.75103770,-0.69638331,0.29049118,0.410463000000000,0.676491000000000,0.799812000000000,0.825998000000000,0.828290000000000,0.829855000000000,0.830049000000000,0.830176000000000,0.829841000000000,0.828948000000000,0.828561000000000,0.827743000000000,0.826764000000000,0.826370000000000,0.825393000000000,0.824756000000000,0.823857000000000,0.822772000000000,0.821703000000000,0.821277000000000,0.820432000000000,0.819366000000000,0.818429000000000,0.817397000000000,0.816593000000000,0.816023000000000,0.814590000000000,0.812367000000000,0.809856000000000,0.807251000000000,0.799734000000000
VOC 2014,PPG1001-1,DELICATE WHITE,241,242,236,95.32796725,-0.94958756,2.16920241,0.410635000000000,0.689335000000000,0.818885000000000,0.849367000000000,0.857550000000000,0.862780000000000,0.868910000000000,0.872897000000000,0.876453000000000,0.879126000000000,0.882464000000000,0.884330000000000,0.885227000000000,0.886283000000000,0.886291000000000,0.886774000000000,0.886504000000000,0.886135000000000,0.885487000000000,0.885575000000000,0.885399000000000,0.885160000000000,0.885034000000000,0.885233000000000,0.885859000000000,0.886749000000000,0.886530000000000,0.884649000000000,0.881637000000000,0.877893000000000,0.863416000000000
VOC 2014,PPG1001-2,ARIA,227,228,224,90.46362849,-0.71436112,1.09174618,0.390419000000000,0.638173000000000,0.739408000000000,0.759664000000000,0.762975000000000,0.766577000000000,0.769460000000000,0.771244000000000,0.772186000000000,0.772529000000000,0.773711000000000,0.773924000000000,0.774025000000000,0.774500000000000,0.774561000000000,0.775142000000000,0.774888000000000,0.774437000000000,0.773598000000000,0.773167000000000,0.772260000000000,0.771088000000000,0.769618000000000,0.769638000000000,0.770426000000000,0.771199000000000,0.770935000000000,0.769228000000000,0.766456000000000,0.760789000000000,0.748435000000000
VOC 2014,PPG1001-3,THIN ICE,217,220,217,87.36649628,-1.06522143,0.09014155,0.390086000000000,0.615311000000000,0.693143000000000,0.707285000000000,0.709282000000000,0.712515000000000,0.714570000000000,0.715870000000000,0.715491000000000,0.714680000000000,0.714976000000000,0.714047000000000,0.713761000000000,0.712800000000000,0.711388000000000,0.709932000000000,0.707164000000000,0.704610000000000,0.702572000000000,0.701388000000000,0.699368000000000,0.697945000000000,0.695970000000000,0.696766000000000,0.697757000000000,0.698935000000000,0.698287000000000,0.693609000000000,0.690661000000000,0.683874000000000,0.674350000000000
VOC 2014,PPG1001-4,FLAGSTONE,172,173,172,70.66318271,-0.22986849,-0.35337267,0.304610000000000,0.397602000000000,0.415969000000000,0.420560000000000,0.422031000000000,0.423482000000000,0.422781000000000,0.422143000000000,0.419553000000000,0.417896000000000,0.417417000000000,0.417071000000000,0.417165000000000,0.416803000000000,0.416653000000000,0.416619000000000,0.417470000000000,0.418451000000000,0.419176000000000,0.419025000000000,0.417428000000000,0.415432000000000,0.412398000000000,0.409473000000000,0.406249000000000,0.404413000000000,0.401566000000000,0.398201000000000,0.394231000000000,0.387811000000000,0.380029000000000
VOC 2014,PPG1001-5,DOVER GRAY,132,133,132,55.37487533,-0.14011508,-0.19580742,0.197066000000000,0.225368000000000,0.230166000000000,0.233303000000000,0.235131000000000,0.236139000000000,0.235683000000000,0.235238000000000,0.233634000000000,0.232579000000000,0.232282000000000,0.232549000000000,0.232493000000000,0.232255000000000,0.232528000000000,0.232451000000000,0.233587000000000,0.234715000000000,0.235562000000000,0.235492000000000,0.234087000000000,0.232399000000000,0.230351000000000,0.227873000000000,0.225462000000000,0.223899000000000,0.221601000000000,0.218786000000000,0.215723000000000,0.212307000000000,0.209209000000000
VOC 2014,PPG1001-6,KNIGHT'S ARMOR,92,93,93,39.33905159,-0.24013968,-0.44352606,0.101922000000000,0.106874000000000,0.108878000000000,0.110080000000000,0.110994000000000,0.111143000000000,0.110563000000000,0.110036000000000,0.109145000000000,0.108509000000000,0.108350000000000,0.108576000000000,0.108668000000000,0.108674000000000,0.108889000000000,0.108663000000000,0.109132000000000,0.109475000000000,0.109594000000000,0.109330000000000,0.108316000000000,0.107238000000000,0.106209000000000,0.104830000000000,0.103713000000000,0.103060000000000,0.101791000000000,0.100369000000000,0.098981000000000,0.098188000000000,0.097342000000000
VOC 2014,PPG1001-7,BLACK MAGIC,65,64,63,27.28060964,0.21905246,0.33605954,0.050654000000000,0.051338000000000,0.051321000000000,0.051307000000000,0.051263000000000,0.051223000000000,0.051220000000000,0.051216000000000,0.051246000000000,0.051061000000000,0.051140000000000,0.051260000000000,0.051450000000000,0.051541000000000,0.051844000000000,0.052007000000000,0.052190000000000,0.052310000000000,0.052584000000000,0.052747000000000,0.052646000000000,0.052505000000000,0.052410000000000,0.052192000000000,0.052050000000000,0.052101000000000,0.051800000000000,0.051566000000000,0.051418000000000,0.051872000000000,0.052112000000000
VOC 2014,PPG1002-1,SILVER FEATHER,237,234,229,92.91405187,0.29212092,2.03084581,0.385518000000000,0.649680000000000,0.775103000000000,0.802684000000000,0.807505000000000,0.809896000000000,0.812557000000000,0.814525000000000,0.815776000000000,0.816222000000000,0.817196000000000,0.817822000000000,0.818530000000000,0.820197000000000,0.821576000000000,0.824674000000000,0.828689000000000,0.835783000000000,0.840933000000000,0.842604000000000,0.842330000000000,0.839572000000000,0.838400000000000,0.839311000000000,0.841416000000000,0.843770000000000,0.845698000000000,0.846004000000000,0.845255000000000,0.842234000000000,0.831335000000000
VOC 2014,PPG1002-2,ARCTIC COTTON,230,227,221,90.28967432,0.54586863,2.21720755,0.393308000000000,0.632670000000000,0.723203000000000,0.741320000000000,0.746273000000000,0.749593000000000,0.750861000000000,0.751386000000000,0.751053000000000,0.751355000000000,0.754568000000000,0.757182000000000,0.759572000000000,0.761464000000000,0.762770000000000,0.766911000000000,0.772270000000000,0.779988000000000,0.783419000000000,0.785223000000000,0.785042000000000,0.783776000000000,0.782766000000000,0.783769000000000,0.785460000000000,0.787020000000000,0.787524000000000,0.786069000000000,0.783366000000000,0.778200000000000,0.766210000000000
